FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,Unnamed: 29
B2148BEL_Splice19_1.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,belly ,45,0,45,0,1,,
B2148BEL_Splice19_2.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,belly ,45,0,45,0,2,,
B2148BEL_Splice19_3.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,belly ,45,0,45,0,3,,
B2148BRE_Splice19_1.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,breast ,45,0,45,0,1,,
B2148BRE_Splice19_2.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,breast ,45,0,45,0,2,,
B2148BRE_Splice19_3.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,breast ,45,0,45,0,3,,
B2148CRW_Splice19_1.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,crown ,45,0,45,0,1,,
B2148CRW_Splice19_2.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,crown ,45,0,45,0,2,,
B2148CRW_Splice19_3.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,crown ,45,0,45,0,3,,
B2148MNTL_Splice19_1.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,mantle ,45,0,45,0,1,,
B2148MNTL_Splice19_2.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,mantle ,45,0,45,0,2,,
B2148MNTL_Splice19_3.txt,M,,Museums Victoria,,B2148,,Passeriformes,Petroicidae,Melanodryas,cucullata,,male,adult,Australia,Koorlong,-34.28,142.08,,,1943,2023-02-16,mantle ,45,0,45,0,3,,
B23990mBEL_Splice17_1.txt,M,,Museums Victoria,,B23990,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Hamilton area,-37.75,142.03,,,U,2005-02-16,belly middle,45,0,45,0,1,,
B23990mBEL_Splice17_2.txt,M,,Museums Victoria,,B23990,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Hamilton area,-37.75,142.03,,,U,2005-02-16,belly middle,45,0,45,0,2,,
B23990mBEL_Splice17_3.txt,M,,Museums Victoria,,B23990,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Hamilton area,-37.75,142.03,,,U,2005-02-16,belly middle,45,0,45,0,3,,
