FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
B10445BEL_Splice17_3,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,belly ,45,0,45,0,3,feathers have a silky appearance,
B10445BRE_Splice17_1,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,breast ,45,0,45,0,1,feathers have a silky appearance,
B10445BRE_Splice17_2,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,breast ,45,0,45,0,2,feathers have a silky appearance,
B10445BRE_Splice17_3,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,breast ,45,0,45,0,3,feathers have a silky appearance,
B10445CRW_Splice17_1,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,crown ,45,0,45,0,1,,
B10445CRW_Splice17_2,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,crown ,45,0,45,0,2,,
B10445CRW_Splice17_3,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,crown ,45,0,45,0,3,,
B10445MNTL_Splice17_1,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,mantle ,45,0,45,0,1,,
B10445MNTL_Splice17_2,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,mantle ,45,0,45,0,2,,
B10445MNTL_Splice17_3,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,mantle ,45,0,45,0,3,,
B10471BEL_Splice17_1,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,belly ,45,0,45,0,1,,
B10471BEL_Splice17_2,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,belly ,45,0,45,0,2,,
B10471BEL_Splice17_3,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,belly ,45,0,45,0,3,,
